fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
1/01/11,4538.91,4591.74,2638.59,2750.37,1107.21,1154.28,54.00,56.31,5834.07,6085.43,6799.16,7091.94
2/01/11,4538.91,4591.74,2638.59,2750.37,1107.21,1154.28,54.00,56.31,5834.07,6085.43,6799.16,7091.94
3/01/11,4555.00,4577.51,2667.59,2762.20,1113.10,1152.73,54.30,56.23,5879.94,6094.50,6833.86,7081.87
4/01/11,4545.00,4553.88,2666.88,2753.75,1110.23,1147.65,53.73,55.45,5910.24,6106.75,6891.16,7119.08
5/01/11,4539.79,4554.16,2645.60,2734.57,1109.52,1147.14,53.12,54.92,5795.13,5996.01,6830.86,7064.87
6/01/11,4520.77,4540.76,2607.90,2699.62,1104.31,1144.34,52.82,54.67,5752.44,5957.02,6801.80,7044.08
7/01/11,4539.76,4560.00,2626.19,2717.84,1108.81,1148.61,53.01,54.87,5722.00,5926.18,6834.78,7079.86
8/01/11,4539.76,4560.00,2626.19,2717.84,1108.81,1148.61,53.01,54.87,5722.00,5926.18,6834.78,7079.86
9/01/11,4539.76,4560.00,2626.19,2717.84,1108.81,1148.61,53.01,54.87,5722.00,5926.18,6834.78,7079.86
10/01/11,4553.71,4571.06,2610.92,2700.45,1110.27,1149.81,53.21,55.05,5703.80,5903.98,6857.55,7098.40
11/01/11,4520.00,4589.17,2596.20,2715.97,1102.74,1155.09,52.85,55.29,5684.37,5951.69,6827.83,7149.01
12/01/11,4575.45,4620.00,2646.05,2752.95,1116.83,1162.26,53.30,55.47,5774.52,6013.85,6942.66,7228.91
13/01/11,4586.96,4638.68,2664.29,2776.32,1119.08,1167.55,53.91,56.16,5901.62,6155.06,7043.32,7343.96
14/01/11,4630.73,4642.82,2669.43,2758.33,1129.75,1168.59,54.25,56.03,6001.50,6203.74,7121.31,7363.05
15/01/11,4630.73,4642.82,2669.43,2758.33,1129.75,1168.59,54.25,56.03,6001.50,6203.74,7121.31,7363.05
16/01/11,4630.73,4642.82,2669.43,2758.33,1129.75,1168.59,54.25,56.03,6001.50,6203.74,7121.31,7363.05
17/01/11,4601.02,4626.08,2657.99,2754.27,1123.78,1164.38,54.09,56.04,5938.45,6156.85,7103.74,7365.64
18/01/11,4594.10,4609.27,2666.04,2755.92,1119.41,1158.69,54.12,55.94,5971.86,6179.65,7133.61,7379.90
19/01/11,4623.00,4646.64,2685.87,2781.59,1126.45,1168.08,54.64,56.58,6059.20,6279.47,7169.96,7431.37
20/01/11,4641.56,4651.34,2696.49,2784.90,1130.97,1169.27,54.51,56.30,6055.61,6256.98,7187.94,7426.79
21/01/11,4645.00,4652.89,2696.71,2783.99,1131.81,1169.66,54.61,56.37,6102.90,6302.80,7203.63,7441.37
22/01/11,4645.00,4652.89,2696.71,2783.99,1131.81,1169.66,54.61,56.37,6102.90,6302.80,7203.63,7441.37
23/01/11,4645.00,4652.89,2696.71,2783.99,1131.81,1169.66,54.61,56.37,6102.90,6302.80,7203.63,7441.37
24/01/11,4620.00,4647.50,2679.31,2776.28,1125.02,1167.57,54.14,56.12,6092.46,6319.67,7149.18,7416.48
25/01/11,4600.00,4643.28,2670.27,2776.42,1119.44,1165.77,54.18,56.34,6071.44,6319.04,7036.57,7323.38
26/01/11,4620.00,4629.32,2687.82,2775.70,1122.90,1160.81,54.59,56.35,6124.28,6326.89,7106.60,7342.10
27/01/11,4625.66,4634.26,2690.63,2777.33,1124.98,1162.34,54.19,55.94,6168.13,6371.64,7169.60,7406.94
28/01/11,4634.61,4644.67,2685.54,2773.77,1125.05,1163.20,54.64,56.43,6161.18,6366.91,7152.01,7390.60
29/01/11,4634.61,4644.67,2685.54,2773.77,1125.05,1163.20,54.64,56.43,6161.18,6366.91,7152.01,7390.60
30/01/11,4634.61,4644.67,2685.54,2773.77,1125.05,1163.20,54.64,56.43,6161.18,6366.91,7152.01,7390.60
31/01/11,4633.84,4645.74,2682.85,2772.75,1123.88,1162.02,54.78,56.60,6163.30,6373.03,7155.76,7397.41
1/02/11,4620.00,4643.53,2695.09,2791.09,1119.40,1160.74,54.96,56.92,6164.61,6390.89,7209.68,7471.90
2/02/11,4609.47,4635.94,2688.30,2785.02,1115.46,1157.39,54.94,56.95,6168.00,6396.21,7241.09,7509.30
3/02/11,4624.62,4633.13,2687.61,2774.99,1118.70,1155.39,54.86,56.63,6128.16,6330.71,7259.50,7498.26
4/02/11,4618.52,4623.00,2682.62,2767.60,1115.84,1151.43,54.85,56.58,6083.79,6279.42,7203.33,7434.25
5/02/11,4618.52,4623.00,2682.62,2767.60,1115.84,1151.43,54.85,56.58,6083.79,6279.42,7203.33,7434.25
6/02/11,4618.52,4623.00,2682.62,2767.60,1115.84,1151.43,54.85,56.58,6083.79,6279.42,7203.33,7434.25
7/02/11,4606.46,4621.63,2665.57,2755.56,1113.48,1151.66,54.30,56.15,6041.10,6249.83,7201.50,7450.99
8/02/11,4584.75,4597.44,2655.86,2744.08,1106.44,1144.21,54.14,55.93,6057.54,6263.55,7139.10,7382.57
9/02/11,4560.00,4590.65,2651.64,2757.81,1101.70,1143.37,53.67,55.66,6044.30,6274.96,7094.37,7365.24
10/02/11,4558.31,4572.63,2652.57,2740.89,1101.02,1139.45,53.24,55.02,6012.00,6218.78,7086.88,7329.47
11/02/11,4565.00,4578.92,2657.10,2746.80,1101.26,1139.60,53.08,54.85,5990.27,6195.74,7080.89,7323.52
12/02/11,4565.00,4578.92,2657.10,2746.80,1101.26,1139.60,53.08,54.85,5990.27,6195.74,7080.89,7323.52
13/02/11,4565.00,4578.92,2657.10,2746.80,1101.26,1139.60,53.08,54.85,5990.27,6195.74,7080.89,7323.52
14/02/11,4560.67,4570.46,2653.78,2740.91,1100.36,1137.21,53.09,54.82,5955.39,6154.58,7079.04,7315.48
15/02/11,4553.35,4564.62,2651.75,2739.70,1097.77,1135.34,52.77,54.52,5975.86,6176.84,7134.38,7375.51
16/02/11,4559.07,4570.83,2649.67,2739.48,1099.15,1136.88,52.74,54.49,5959.93,6161.02,7080.54,7319.27
17/02/11,4561.14,4581.51,2650.88,2745.89,1100.47,1139.54,53.08,54.93,6001.13,6216.65,7134.19,7388.60
18/02/11,4573.82,4592.43,2659.36,2751.94,1102.02,1141.54,53.32,55.15,6041.77,6254.89,7203.27,7457.65
