"mes","dia","dolar_compra","dolar_venta","real_compra","real_venta","peso_compra","peso_venta","yen_compra","yen_venta","euro_compra","euro_venta","libra_compra","libra_venta"
"febrero","11","4.522,25","4.534,63","2.544,72","2.631,82","1009,11","1.044,73","56,73","58,66","5.825,82","6.024,26","6.955,37","7.191,02"
"febrero","12","4.522,25","4.534,63","2.544,72","2.631,82","1009,11","1.044,73","56,73","58,66","5.825,82","6.024,26","6.955,37","7.191,02"
"febrero","13","4.546,34","4.557,26","2.550,58","2.636,54","1013,90","1.049,33","56,73","58,66","5.808,34","6.002,82","6.951,40","7.185,89"
"febrero","14","4.470,09","4.497,21","2.523,42","2.618,01","997,01","1.035,51","55,88","57,98","5.738,25","5.953,86","6.851,29","7.107,39"
"febrero","15","4.380,15","4.408,65","2.470,63","2.565,11","976,84","1.015,12","54,37","56,44","5.588,80","5.800,02","6.668,83","6.920,70"
"febrero","16","4.411,33","4.434,31","2.491,26","2.583,19","983,22","1.020,44","54,55","56,55","5.597,77","5.801,41","6.713,74","6.958,76"
"febrero","17","4.446,37","4.453,73","2.490,75","2.573,82","991,03","1.024,79","54,66","56,45","5.612,48","5.796,97","6.765,77","6.989,24"
"febrero","18","4.446,37","4.453,73","2.490,75","2.573,82","991,03","1.024,79","54,66","56,45","5.612,48","5.796,97","6.765,77","6.989,24"
"febrero","19","4.446,37","4.453,73","2.490,75","2.573,82","991,03","1.024,79","54,66","56,45","5.612,48","5.796,97","6.765,77","6.989,24"
"febrero","20","4.471,26","4.481,25","2.531,89","2.616,79","995,67","1.029,46","54,66","56,50","5.715,03","5.905,84","6.860,89","7.090,23"
"febrero","21","4.379,57","4.403,95","2.471,89","2.564,76","975,47","1.012,64","53,41","55,42","5.633,52","5.840,52","6.740,59","6.989,51"
"febrero","22","4.313,87","4.321,48","2.434,80","2.516,73","961,28","993,22","52,51","54,25","5.528,92","5.710,84","6.613,95","6.832,26"
"febrero","23","4.283,86","4.299,88","2.418,71","2.504,30","953,50","988,25","51,77","53,59","5.495,03","5.687,45","6.503,94","6.732,32"
"febrero","24","4.336,22","4.368,09","2.466,94","2.563,73","965,13","1003,72","52,39","54,44","5.593,74","5.810,43","6.609,52","6.865,33"
"febrero","25","4.336,22","4.368,09","2.466,94","2.563,73","965,13","1003,72","52,39","54,44","5.593,74","5.810,43","6.609,52","6.865,33"
"febrero","26","4.336,22","4.368,09","2.466,94","2.563,73","965,13","1003,72","52,39","54,44","5.593,74","5.810,43","6.609,52","6.865,33"
"febrero","27","4.341,63","4.386,56","2.460,64","2.565,24","966,02","1007,71","52,22","54,41","5.644,94","5.880,62","6.661,98","6.940,85"
