fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
01/01/10,4600.00,4620.00,2560.50,2650.91,1167.89,1208.79,48.41,50.09,6399.40,6626.93,7071.38,7323.62
02/01/10,4600.00,4620.00,2560.50,2650.91,1167.89,1208.79,48.41,50.09,6399.40,6626.93,7071.38,7323.62
03/01/10,4600.00,4620.00,2560.50,2650.91,1167.89,1208.79,48.41,50.09,6399.40,6626.93,7071.38,7323.62
04/01/10,4600.00,4630.00,2578.53,2676.30,1174.03,1219.06,48.09,49.86,6424.39,6667.20,7207.91,7481.62
05/01/10,4600.00,4620.00,2600.76,2691.84,1175.18,1216.65,48.58,50.27,6446.25,6677.29,7161.06,7415.10
06/01/10,4600.00,4620.00,2574.97,2664.51,1175.58,1218.03,48.32,50.02,6403.86,6632.47,7126.71,7379.99
07/01/10,4600.00,4630.00,2562.55,2657.56,1172.49,1216.18,47.96,49.74,6396.28,6638.03,7104.40,7373.28
08/01/10,4620.00,4650.00,2562.23,2657.60,1181.00,1226.59,48.08,49.87,6404.37,6646.25,7170.24,7441.40
09/01/10,4620.00,4650.00,2562.23,2657.60,1181.00,1226.59,48.08,49.87,6404.37,6646.25,7170.24,7441.40
10/01/10,4620.00,4650.00,2562.23,2657.60,1181.00,1226.59,48.08,49.87,6404.37,6646.25,7170.24,7441.40
11/01/10,4660.00,4700.00,2607.35,2710.81,1190.75,1239.12,48.94,50.85,6553.84,6817.35,7285.66,7577.34
12/01/10,4690.00,4720.00,2613.14,2710.15,1200.54,1245.45,49.93,51.79,6592.39,6840.70,7340.75,7617.61
13/01/10,4710.00,4740.00,2628.05,2725.70,1203.37,1248.19,50.05,51.91,6649.74,6900.02,7432.36,7711.98
14/01/10,4700.00,4740.00,2582.11,2683.58,1202.08,1249.01,49.99,51.95,6603.71,6866.36,7434.82,7730.94
15/01/10,4680.00,4720.00,2570.83,2671.50,1194.92,1242.11,49.88,51.82,6526.58,6786.42,7400.91,7695.96
16/01/10,4680.00,4720.00,2570.83,2671.50,1194.92,1242.11,49.88,51.82,6526.58,6786.42,7400.91,7695.96
17/01/10,4680.00,4720.00,2570.83,2671.50,1194.92,1242.11,49.88,51.82,6526.58,6786.42,7400.91,7695.96
18/01/10,4650.00,4690.00,2543.70,2643.30,1188.83,1236.65,49.75,51.69,6485.20,6743.75,7361.14,7654.55
19/01/10,4620.00,4660.00,2527.72,2627.57,1179.51,1226.38,49.30,51.23,6408.40,6664.73,7336.95,7631.22
20/01/10,4630.00,4670.00,2516.74,2616.54,1182.00,1228.30,49.20,51.14,6345.48,6598.71,7311.96,7604.16
21/01/10,4660.00,4710.00,2534.18,2638.66,1187.78,1238.82,49.28,51.33,6369.41,6640.16,7330.41,7639.15
22/01/10,4660.00,4710.00,2479.73,2582.94,1185.98,1236.93,50.12,52.21,6384.78,6653.35,7278.43,7586.40
23/01/10,4660.00,4710.00,2479.73,2582.94,1185.98,1236.93,50.12,52.21,6384.78,6653.35,7278.43,7586.40
24/01/10,4660.00,4710.00,2479.73,2582.94,1185.98,1236.93,50.12,52.21,6384.78,6653.35,7278.43,7586.40
25/01/10,4680.00,4720.00,2504.79,2604.86,1193.51,1240.47,50.36,52.33,6432.61,6688.71,7331.00,7624.69
26/01/10,4700.00,4730.00,2483.05,2574.71,1198.29,1243.10,50.89,52.78,6416.34,6658.89,7346.37,7623.34
27/01/10,4720.00,4750.00,2491.72,2584.19,1200.56,1246.39,51.17,53.05,6443.64,6687.53,7429.37,7709.73
28/01/10,4730.00,4760.00,2486.99,2579.25,1203.57,1248.52,50.86,52.73,6425.63,6666.86,7452.45,7733.57
29/01/10,4740.00,4770.00,2467.53,2561.76,1205.01,1249.35,51.02,52.89,6418.53,6660.35,7413.49,7692.10
30/01/10,4740.00,4770.00,2467.53,2561.76,1205.01,1249.35,51.02,52.89,6418.53,6660.35,7413.49,7692.10
31/01/10,4740.00,4770.00,2467.53,2561.76,1205.01,1249.35,51.02,52.89,6418.53,6660.35,7413.49,7692.10
01/02/10,4750.00,4780.00,2449.49,2539.99,1201.11,1247.23,51.05,52.95,6407.19,6649.46,7313.95,7590.16
02/02/10,4740.00,4770.00,2499.02,2591.69,1200.92,1245.43,50.77,52.64,6412.55,6654.15,7327.97,7603.86
03/02/10,4700.00,4720.00,2494.46,2581.63,1193.28,1234.96,50.32,52.06,6378.95,6605.64,7277.08,7536.42
04/02/10,4650.00,4670.00,2425.23,2509.81,1176.65,1219.38,49.73,51.45,6245.69,6467.48,7152.75,7408.02
05/02/10,4650.00,4670.00,2401.36,2485.36,1174.75,1215.83,50.46,52.23,6173.97,6393.23,7073.82,7325.36
06/02/10,4650.00,4670.00,2401.36,2485.36,1174.75,1215.83,50.46,52.23,6173.97,6393.23,7073.82,7325.36
07/02/10,4650.00,4670.00,2401.36,2485.36,1174.75,1215.83,50.46,52.23,6173.97,6393.23,7073.82,7325.36
08/02/10,4680.00,4710.00,2415.83,2505.45,1182.48,1228.00,50.88,52.76,6199.28,6433.39,7067.70,7335.35
09/02/10,4680.00,4720.00,2444.29,2539.96,1182.33,1229.17,50.68,52.67,6241.50,6490.47,7083.59,7366.50
10/02/10,4660.00,4700.00,2448.20,2543.98,1176.57,1223.23,50.60,52.57,6209.40,6457.80,7054.22,7337.17
11/02/10,4660.00,4690.00,2439.09,2529.53,1174.43,1219.67,50.38,52.24,6187.70,6420.61,7054.22,7320.15
12/02/10,4670.00,4700.00,2432.26,2525.93,1177.57,1222.91,50.29,52.14,6145.26,6376.49,7072.08,7339.99
13/02/10,4670.00,4700.00,2432.26,2525.93,1177.57,1222.91,50.29,52.14,6145.26,6376.49,7072.08,7339.99
14/02/10,4670.00,4700.00,2432.26,2525.93,1177.57,1222.91,50.29,52.14,6145.26,6376.49,7072.08,7339.99
15/02/10,4680.00,4720.00,2450.75,2546.53,1178.95,1225.02,50.48,52.46,6181.57,6428.64,7123.54,7408.51
16/02/10,4680.00,4720.00,2461.24,2564.24,1176.36,1222.80,50.50,52.47,6199.28,6447.05,7115.37,7399.54
17/02/10,4696.66,4709.49,2489.01,2572.09,1180.61,1221.56,50.21,51.87,6251.41,6463.78,7191.72,7435.34
18/02/10,4720.51,4736.39,2500.28,2585.37,1189.16,1229.91,50.43,52.14,6217.68,6432.96,7140.79,7389.24
19/02/10,4739.47,4759.17,2535.22,2623.58,1192.08,1234.54,50.15,51.91,6210.47,6429.64,7075.22,7325.79
20/02/10,4739.47,4759.17,2535.22,2623.58,1192.08,1234.54,50.15,51.91,6210.47,6429.64,7075.22,7325.79
21/02/10,4739.47,4759.17,2535.22,2623.58,1192.08,1234.54,50.15,51.91,6210.47,6429.64,7075.22,7325.79
22/02/10,4705.72,4725.17,2536.03,2626.55,1183.28,1224.14,50.03,51.78,6215.09,6435.68,7065.01,7315.98
