fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
01/12/19,6449.26,6460.87,1526.20,1529.24,107.71,107.94,58.88,58.98,7095.47,7108.25,8324.05,8339.69
02/12/19,6452.66,6474.64,1527.15,1532.64,107.62,108.02,58.90,59.10,7125.68,7150.59,8343.29,8372.35
03/12/19,6426.49,6438.70,1530.85,1534.01,107.18,107.40,59.13,59.24,7121.19,7135.37,8351.22,8368.38
04/12/19,6423.34,6429.82,1533.31,1535.15,107.22,107.35,59.09,59.15,7132.48,7140.31,8408.80,8417.92
05/12/19,6432.48,6450.76,1525.95,1530.57,107.37,107.69,59.13,59.30,7138.12,7158.41,8449.06,8473.72
06/12/19,6432.65,6444.09,1540.72,1543.94,107.26,107.47,59.13,59.23,7114.51,7127.17,8443.49,8459.16
07/12/19,6432.65,6444.09,1540.72,1543.94,107.26,107.47,59.13,59.23,7114.51,7127.17,8443.49,8459.16
08/12/19,6432.65,6444.09,1540.72,1543.94,107.26,107.47,59.13,59.23,7114.51,7127.17,8443.49,8459.16
09/12/19,6429.75,6430.25,1547.44,1547.78,107.21,107.24,59.24,59.24,7117.73,7118.29,8454.48,8455.78
10/12/19,6433.36,6442.19,1551.59,1554.10,107.26,107.43,59.23,59.31,7126.24,7136.66,8473.38,8485.65
11/12/19,6439.66,6443.81,1564.39,1565.67,107.59,107.73,59.24,59.28,7140.94,7145.54,8482.97,8489.07
12/12/19,6428.75,6442.43,1568.10,1571.63,107.46,107.71,58.92,59.05,7148.77,7163.98,8450.59,8469.86
13/12/19,6441.02,6453.42,1572.67,1575.93,107.82,108.04,58.91,59.03,7188.18,7202.02,8582.66,8600.47
14/12/19,6441.02,6453.42,1572.67,1575.93,107.82,108.04,58.91,59.03,7188.18,7202.02,8582.66,8600.47
15/12/19,6441.02,6453.42,1572.67,1575.93,107.82,108.04,58.91,59.03,7188.18,7202.02,8582.66,8600.47
16/12/19,6445.87,6463.70,1581.30,1586.07,107.73,108.06,58.89,59.06,7185.86,7205.73,8598.79,8623.22
17/12/19,6457.28,6467.78,1586.52,1589.41,107.80,107.99,58.92,59.02,7200.51,7212.87,8491.96,8506.43
18/12/19,6452.92,6455.52,1591.74,1592.81,107.85,107.92,58.89,58.92,7173.71,7177.24,8437.19,8441.23
19/12/19,6450.78,6453.16,1586.60,1587.38,107.83,107.89,59.04,59.06,7175.85,7178.49,8405.37,8409.11
20/12/19,6441.98,6453.16,1575.75,1578.63,107.68,107.85,58.90,58.99,7139.65,7149.91,8401.63,8414.36
21/12/19,6441.98,6453.16,1575.75,1578.63,107.68,107.85,58.90,58.99,7139.65,7149.91,8401.63,8414.36
22/12/19,6441.98,6453.16,1575.75,1578.63,107.68,107.85,58.90,58.99,7139.65,7149.91,8401.63,8414.36
23/12/19,6439.53,6447.65,1582.62,1585.08,107.62,107.78,58.88,58.96,7140.80,7150.44,8339.19,8350.99
24/12/19,6455.58,6486.85,1573.76,1592.26,107.60,108.14,59.01,59.29,7154.72,7189.37,8362.56,8403.71
25/12/19,6455.58,6486.85,1573.76,1592.26,107.60,108.14,59.01,59.29,7154.72,7189.37,8362.56,8403.71
26/12/19,6479.10,6492.00,1596.35,1599.92,108.22,108.53,59.11,59.23,7189.21,7204.17,8415.70,8433.76
27/12/19,6459.77,6487.19,1592.37,1599.68,107.80,108.29,59.00,59.26,7209.11,7240.35,8462.95,8499.51
28/12/19,6459.77,6487.19,1592.37,1599.68,107.80,108.29,59.00,59.26,7209.11,7240.35,8462.95,8499.51
29/12/19,6459.77,6487.19,1592.37,1599.68,107.80,108.29,59.00,59.26,7209.11,7240.35,8462.95,8499.51
