fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
1/01/21,6891.96,6941.65,1328.08,1337.84,81.90,82.50,66.84,67.33,8466.08,8527.82,9367.55,9435.79
2/01/21,6891.96,6941.65,1328.08,1337.84,81.90,82.50,66.84,67.33,8466.08,8527.82,9367.55,9435.79
3/01/21,6891.96,6941.65,1328.08,1337.84,81.90,82.50,66.84,67.33,8466.08,8527.82,9367.55,9435.79
4/01/21,6906.43,6930.12,1345.08,1350.06,81.53,81.82,67.01,67.25,8487.31,8516.43,9392.74,9426.35
5/01/21,6866.22,6891.45,1292.68,1297.61,80.96,81.82,66.74,66.99,8420.73,8451.68,9333.25,9368.93
6/01/21,6829.67,6856.22,1280.83,1286.10,80.43,80.76,66.15,66.42,8408.68,8442.06,9278.78,9316.23
7/01/21,6833.11,6864.14,1275.31,1281.34,80.39,80.76,65.79,66.10,8375.34,8414.07,9265.69,9308.47
8/01/21,6860.62,6894.72,1270.25,1276.99,80.61,81.03,66.01,66.34,8401.52,8443.96,9314.67,9361.65
9/01/21,6860.62,6894.72,1270.25,1276.99,80.61,81.03,66.01,66.34,8401.52,8443.96,9314.67,9361.65
10/01/21,6860.62,6894.72,1270.25,1276.99,80.61,81.03,66.01,66.34,8401.52,8443.96,9314.67,9361.65
11/01/21,6895.86,6911.76,1255.23,1258.56,80.61,81.17,66.09,66.24,8372.27,8392.26,9284.59,9306.69
12/01/21,6893.48,6911.10,1261.41,1264.96,80.65,80.87,66.13,66.31,8381.78,8403.90,9383.40,9408.08
13/01/21,6862.51,6898.15,1290.84,1298.04,80.21,80.63,66.07,66.42,8350.99,8395.05,9370.07,9419.42
14/01/21,6854.89,6874.63,1300.12,1304.16,80.03,80.27,65.85,66.04,8307.44,8332.05,9352.82,9380.43
15/01/21,6847.43,6866.11,1297.48,1301.36,79.86,80.09,65.98,66.16,8275.81,8298.39,9304.29,9330.36
16/01/21,6847.43,6866.11,1297.48,1301.36,79.86,80.09,65.98,66.16,8275.81,8298.39,9304.29,9330.36
17/01/21,6847.43,6866.11,1297.48,1301.36,79.86,80.09,65.98,66.16,8275.81,8298.39,9304.29,9330.36
18/01/21,6862.93,6877.05,1300.73,1303.81,79.73,79.90,66.17,66.32,8283.55,8301.29,9308.87,9328.72
19/01/21,6894.96,6914.33,1298.54,1302.50,79.99,80.22,66.34,66.53,8365.66,8389.16,9389.56,9416.63
20/01/21,6862.61,6909.76,1295.44,1304.56,79.50,80.06,66.27,66.73,8309.25,8366.33,9363.35,9428.36
21/01/21,6910.53,6928.10,1292.65,1296.40,79.93,80.15,66.74,66.91,8399.05,8420.42,9486.77,9511.59
22/01/21,6920.94,6943.56,1273.52,1273.52,79.96,80.23,66.71,66.93,8429.02,8457.26,9458.16,9489.77
23/01/21,6920.94,6943.56,1273.52,1273.52,79.96,80.23,66.71,66.93,8429.02,8457.26,9458.16,9489.77
24/01/21,6920.94,6943.56,1273.52,1273.52,79.96,80.23,66.71,66.93,8429.02,8457.26,9458.16,9489.77
25/01/21,6939.19,6952.90,1254.78,1260.77,79.82,79.99,66.79,66.93,8414.46,8431.09,9482.40,9501.84
