fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
1/01/20,6442.33,6463.95,1594.68,1600.34,107.45,108.01,59.13,59.32,7216.70,7241.56,8471.02,8500.74
2/01/20,6463.71,6495.85,1604.18,1612.47,107.84,108.50,59.49,59.79,7220.61,7257.16,8499.78,8542.69
3/01/20,6470.79,6499.13,1598.95,1606.19,108.02,108.61,59.79,60.05,7216.87,7248.48,8461.20,8499.57
4/01/20,6470.79,6499.13,1598.95,1606.19,108.02,108.61,59.79,60.05,7216.87,7248.48,8461.20,8499.57
5/01/20,6470.79,6499.13,1598.95,1606.19,108.02,108.61,59.79,60.05,7216.87,7248.48,8461.20,8499.57
6/01/20,6496.79,6513.60,1601.02,1605.48,108.56,108.87,60.10,60.26,7272.50,7291.97,8547.17,8569.94
7/01/20,6510.53,6520.50,1592.40,1595.03,108.83,109.01,60.07,60.16,7261.84,7273.62,8541.81,8555.55
8/01/20,6509.89,6517.73,1599.48,1601.68,108.82,108.97,59.89,59.97,7242.90,7251.63,8546.83,8557.78
9/01/20,6491.89,6518.00,1592.40,1599.08,108.52,108.97,59.26,59.50,7202.75,7231.72,8472.56,8507.30
10/01/20,6492.33,6510.51,1594.62,1599.40,108.54,108.86,59.25,59.42,7211.68,7232.52,8486.13,8510.54
11/01/20,6492.33,6510.51,1594.62,1599.40,108.54,108.86,59.25,59.42,7211.68,7232.52,8486.13,8510.54
12/01/20,6492.33,6510.51,1594.62,1599.40,108.54,108.86,59.25,59.42,7211.68,7232.52,8486.13,8510.54
13/01/20,6495.98,6514.72,1570.71,1575.77,108.53,108.91,59.11,59.29,7225.48,7246.33,8441.52,8466.53
14/01/20,6507.54,6523.23,1573.47,1577.72,108.35,108.63,59.16,59.31,7236.39,7254.49,8460.46,8481.51
15/01/20,6515.18,6527.91,1560.86,1564.21,108.50,108.79,59.29,59.40,7265.07,7279.92,8487.32,8504.56
16/01/20,6515.39,6521.82,1560.46,1562.37,108.61,108.74,59.20,59.26,7258.80,7266.61,8503.24,8512.28
17/01/20,6513.70,6534.74,1558.67,1564.08,108.51,108.88,59.13,59.33,7229.56,7252.90,8489.96,8518.03
18/01/20,6513.70,6534.74,1558.67,1564.08,108.51,108.88,59.13,59.33,7229.56,7252.90,8489.96,8518.03
19/01/20,6513.70,6534.74,1558.67,1564.08,108.51,108.88,59.13,59.33,7229.56,7252.90,8489.96,8518.03
20/01/20,6517.21,6535.74,1557.65,1562.68,108.57,109.07,59.15,59.32,7222.37,7242.90,8470.42,8495.80
21/01/20,6517.17,6531.76,1551.30,1555.07,108.45,108.71,59.23,59.36,7235.36,7251.56,8510.77,8530.47
22/01/20,6518.92,6535.19,1555.86,1560.01,108.41,108.70,59.34,59.49,7218.40,7237.07,8558.69,8580.70
23/01/20,6517.29,6523.71,1562.75,1564.55,108.46,108.58,59.59,59.65,7213.98,7221.09,8548.07,8557.15
24/01/20,6503.80,6523.64,1559.22,1564.42,108.21,108.56,59.43,59.61,7174.35,7196.23,8514.78,8541.40
25/01/20,6503.80,6523.64,1559.22,1564.42,108.21,108.56,59.43,59.61,7174.35,7196.23,8514.78,8541.40
26/01/20,6503.80,6523.64,1559.22,1564.42,108.21,108.56,59.43,59.61,7174.35,7196.23,8514.78,8541.40
27/01/20,6516.32,6525.06,1545.98,1548.43,108.37,108.53,59.77,59.86,7179.68,7189.32,8509.66,8521.73
28/01/20,6520.74,6537.13,1547.95,1552.58,108.34,108.64,59.81,59.96,7173.47,7192.15,8474.36,8496.31
29/01/20,6521.90,6535.98,1550.18,1554.04,108.25,108.51,59.83,59.96,7177.35,7192.85,8485.64,8504.62
30/01/20,6529.58,6539.66,1538.54,1541.28,108.38,108.57,59.95,60.05,7198.86,7209.97,8539.38,8553.22
31/01/20,6527.43,6533.74,1527.53,1529.26,108.18,108.30,60.03,60.10,7218.03,7225.01,8579.00,8587.95
1/02/20,6527.43,6533.74,1527.53,1529.26,108.18,108.30,60.03,60.10,7218.03,7225.01,8579.00,8587.95
2/02/20,6527.43,6533.74,1527.53,1529.26,108.18,108.30,60.03,60.10,7218.03,7225.01,8579.00,8587.95
